product_id,title,author,category,subcategory,affiliate_link,price,sale_price,discount_percent,priority_score,status,notes
BK101,Hiểu Về Trái Tim,Minh Niệm,tam-ly,chua-lanh,https://shopee.vn/product/BK101,98000,69000,30,9,active,Sách chữa lành bán ổn định
BK102,Đắc Nhân Tâm,Dale Carnegie,ky-nang-song,giao-tiep,https://shopee.vn/product/BK102,120000,79000,34,10,active,Phù hợp bài học ứng xử
BK103,Nhà Giả Kim,Paulo Coelho,truyen-cam-hung,hanh-trinh,https://shopee.vn/product/BK103,89000,62000,30,8,active,Dễ làm storytelling
BK104,Tuổi Trẻ Đáng Giá Bao Nhiêu,Rosie Nguyen,phat-trien-ban-than,tu-duy,https://shopee.vn/product/BK104,99000,68000,31,8,active,Hợp độc giả trẻ
BK105,Muôn Kiếp Nhân Sinh,Nguyên Phong,tam-linh,nhan-qua,https://shopee.vn/product/BK105,168000,119000,29,10,active,Phù hợp page cổ nhân
BK106,Không Diệt Không Sinh Đừng Sợ Hãi,Thích Nhất Hạnh,phat-giao,an-yen,https://shopee.vn/product/BK106,110000,76000,31,9,active,Hợp page chữa lành
BK107,Càng Kỷ Luật Càng Tự Do,Ca Tây,phat-trien-ban-than,ky-luat,https://shopee.vn/product/BK107,115000,79000,31,9,active,Hợp nội dung thay đổi tư duy
BK108,Nghĩ Giàu Làm Giàu,Napoleon Hill,kinh-doanh,lam-giau,https://shopee.vn/product/BK108,135000,89000,34,8,active,Hợp page business nếu mở rộng
BK109,7 Thói Quen Hiệu Quả,Stephen Covey,phat-trien-ban-than,thoi-quen,https://shopee.vn/product/BK109,145000,99000,32,8,active,Nội dung listicle dễ viết
BK110,Tâm Lý Học Về Tiền,Morgan Housel,tai-chinh,tu-duy-tien-bac,https://shopee.vn/product/BK110,159000,119000,25,9,active,Có thể kéo sang page thực tế
BK111,Dám Bị Ghét,Kishimi Ichiro,tam-ly,tu-do-noi-tam,https://shopee.vn/product/BK111,125000,85000,32,9,active,Hợp nội dung thẳng nhưng sâu
BK112,Atomic Habits,James Clear,phat-trien-ban-than,thoi-quen,https://shopee.vn/product/BK112,189000,139000,26,9,active,Tệp rộng, dễ chốt
BK113,Quẳng Gánh Lo Đi Và Vui Sống,Dale Carnegie,tam-ly,vuot-lo-au,https://shopee.vn/product/BK113,128000,88000,31,8,active,Hợp page chữa lành
BK114,Đi Tìm Lẽ Sống,Viktor Frankl,triet-hoc,y-nghia-song,https://shopee.vn/product/BK114,132000,93000,29,8,active,Hợp bài chiêm nghiệm
BK115,Khéo Ăn Nói Sẽ Có Được Thiên Hạ,Trác Nhã,ky-nang-song,giao-tiep,https://shopee.vn/product/BK115,108000,72000,33,7,active,Hợp bài direct sell mềm
BK116,Từ Tốt Đến Vĩ Đại,Jim Collins,kinh-doanh,quan-tri,https://shopee.vn/product/BK116,172000,129000,25,7,active,Dự phòng page business
BK117,Sức Mạnh Của Hiện Tại,Eckhart Tolle,tam-linh,chanh-niem,https://shopee.vn/product/BK117,138000,98000,29,8,active,Hợp nội dung an yên
BK118,Đừng Lựa Chọn An Nhàn Khi Còn Trẻ,Cảnh Thiên,phat-trien-ban-than,dong-luc,https://shopee.vn/product/BK118,119000,79000,34,8,active,Hợp bài động lực
